         166433114 function calls (166432988 primitive calls) in 108.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 calendar.py:74(__getitem__)
        1    0.000    0.000    0.000    0.000 _strptime.py:115(__calc_date_time)
       62    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
        4    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
       31    0.000    0.000    0.000    0.000 {_sre.compile}
        3    0.000    0.000    0.000    0.000 sre_parse.py:704(parse_template)
      115    0.000    0.000    0.000    0.000 makeviewerconfig:28(choose)
        4    0.000    0.000    0.000    0.000 {posix.stat}
        3    0.000    0.000    0.000    0.000 _strptime.py:27(_getlang)
       57    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:259(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 locale.py:514(getlocale)
       50    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
       32    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        9    0.000    0.000    0.000    0.000 sre_compile.py:355(_simple)
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        3    0.000    0.000    0.000    0.000 locale.py:415(_parse_localename)
       31    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:347(normalize)
       60    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 getopt.py:51(getopt)
       47    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 _strptime.py:160(__calc_timezone)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        8    0.000    0.000    0.000    0.000 {time.strftime}
        6    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        5    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
        1    0.000    0.000    0.000    0.000 getopt.py:187(do_shorts)
       30    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _strptime.py:103(__calc_am_pm)
        1    0.000    0.000    0.000    0.000 {time.tzset}
       31    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        2    0.000    0.000    0.000    0.000 getopt.py:202(short_has_arg)
