3159731 function calls (3159649 primitive calls) in 262.009 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
        1    0.000    0.000    0.000    0.000 gdal.py:267(StatBuf)
       93    0.000    0.000    0.000    0.000 {min}
       25    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 subprocess.py:1147(pipe_cloexec)
       50    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
       63    0.000    0.000    0.000    0.000 sre_parse.py:196(match)
      142    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        1    0.000    0.000    0.000    0.000 subprocess.py:1089(_get_handles)
       57    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
        1    0.000    0.000    0.000    0.000 gdal.py:10(swig_import_helper)
       11    0.000    0.000    0.000    0.000 sre_compile.py:355(_simple)
        1    0.000    0.000    0.000    0.000 sre_compile.py:259(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
       44    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        4    0.000    0.000    0.000    0.000 subprocess.py:1134(_set_cloexec_flag)
        4    0.000    0.000    0.000    0.000 {imp.find_module}
        1    0.000    0.000    0.000    0.000 subprocess.py:1352(wait)
       54    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        7    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        1    0.000    0.000    0.000    0.000 {posix.fdopen}
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        8    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       25    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 getopt.py:51(getopt)
        1    0.000    0.000    0.000    0.000 osr.py:241(SpatialReference)
        3    0.000    0.000    0.000    0.000 {posix.close}
        1    0.000    0.000    0.000    0.000 gdal.py:978(Band)
        1    0.000    0.000    0.000    0.000 gdal.py:686(Dataset)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
        2    0.000    0.000    0.000    0.000 {posix.pipe}
        1    0.000    0.000    0.000    0.000 gdal.py:373(Driver)
