usdm_current,AHZ
usdm020625,DRTAFO
usdm020702,DRTAFP
usdm020709,DRTAFQ
usdm020716,DRTAFR
usdm020723,DRTAFS
usdm020730,DRTAFT
usdm020806,DRTAFU
usdm020813,DRTAFV
usdm020820,DRTAFW
usdm020827,DRTAFX
usdm020903,DRTAFY
usdm020910,DRTAFZ
usdm020917,DRTAGA
usdm020924,DRTAGB
usdm021001,DRTAGC
usdm021008,DRTAGD
usdm021015,DRTAGE
usdm021022,DRTAGF
usdm021029,DRTAGG
usdm021105,DRTAGH
usdm021112,DRTAGI
usdm021119,DRTAGJ
usdm021126,DRTAGK
usdm021203,DRTAGL
usdm021210,DRTAGM
usdm021217,DRTAGN
usdm021224,DRTAGO
usdm021231,DRTAGP
usdm030107,DRTAGQ
usdm030114,DRTAGR
usdm030121,DRTAGS
usdm030128,DRTAGT
usdm030204,DRTAGU
usdm030211,DRTAGV
usdm030218,DRTAGW
usdm030225,DRTAGX
usdm030304,DRTAGY
usdm030311,DRTAGZ
usdm030318,DRTAHA
usdm030325,DRTAHB
usdm030401,DRTAHC
usdm030408,DRTAHD
usdm030415,DRTAHE
usdm030422,DRTAHF
usdm030429,DRTAHG
usdm030506,DRTAHH
usdm030513,DRTAHI
usdm030520,DRTAHJ
usdm030527,DRTAHK
usdm030603,DRTAHL
usdm030610,DRTAHM
usdm030617,DRTAHN
usdm030624,DRTAHO
usdm030701,DRTAHP
usdm030708,DRTAHQ
usdm030715,DRTAHR
usdm030722,DRTAHS
usdm030729,DRTAHT
usdm030805,DRTAHU
usdm030812,DRTAHV
usdm030819,DRTAHW
usdm030826,DRTAHX
usdm030902,DRTAHY
usdm030909,DRTAHZ
usdm030916,DRTAIA
usdm030923,DRTAIB
usdm030930,DRTAIC
usdm031007,DRTAID
usdm031014,DRTAIE
usdm031021,DRTAIF
usdm031028,DRTAIG
usdm031104,DRTAIH
usdm031111,DRTAII
usdm031118,DRTAIJ
usdm031125,DRTAIK
usdm031202,DRTAIL
usdm031209,DRTAIM
usdm031216,DRTAIN
usdm031223,DRTAIO
usdm031230,DRTAIP
usdm040106,DRTAIQ
usdm040113,DRTAIR
usdm040120,DRTAIS
usdm040127,DRTAIT
usdm040203,DRTAIU
usdm040210,DRTAIV
usdm040217,DRTAIW
usdm040224,DRTAIX
usdm040302,DRTAIY
usdm040309,DRTAIZ
usdm040316,DRTAJA
usdm040323,DRTAJB
usdm040330,DRTAJC
usdm040406,DRTAJD
usdm040413,DRTAJE
usdm040420,DRTAJF
usdm040427,DRTAJG
usdm040504,DRTAJH
usdm040511,DRTAJI
usdm040518,DRTAJJ
usdm040525,DRTAJK
usdm040601,DRTAJL
usdm040608,DRTAJM
usdm040615,DRTAJN
usdm040622,DRTAJO
usdm040629,DRTAJP
usdm040706,DRTAJQ
usdm040713,DRTAJR
usdm040720,DRTAJS
usdm040727,DRTAJT
usdm040803,DRTAJU
usdm040810,DRTAJV
usdm040817,DRTAJW
usdm040824,DRTAJX
usdm040831,DRTAJY
usdm040907,DRTAJZ
usdm040914,DRTAKA
usdm040921,DRTAKB
usdm040928,DRTAKC
usdm041005,DRTAKD
usdm041012,DRTAKE
usdm041019,DRTAKF
usdm041026,DRTAKG
usdm041102,DRTAKH
usdm041109,DRTAKI
usdm041116,DRTAKJ
usdm041123,DRTAKK
usdm041130,DRTAKL
usdm041207,DRTAKM
usdm041214,DRTAKN
usdm041221,DRTAKO
usdm041228,DRTAKP
usdm050104,DRTAKQ
usdm050111,DRTAKR
usdm050118,DRTAKS
usdm050125,DRTAKT
usdm050201,DRTAKU
usdm050208,DRTAKV
usdm050215,DRTAKW
usdm050222,DRTAKX
usdm050301,DRTAKY
usdm050308,DRTAKZ
usdm050315,DRTALA
usdm050322,DRTALB
usdm050329,DRTALC
usdm050405,DRTALD
usdm050412,DRTALE
usdm050419,DRTALF
usdm050426,DRTALG
usdm050503,DRTALH
usdm050510,DRTALI
usdm050517,DRTALJ
usdm050524,DRTALK
usdm050531,DRTALL
usdm050607,DRTALM
usdm050614,DRTALN
usdm050621,DRTALO
usdm050628,DRTALP
usdm050705,DRTALQ
usdm050712,DRTALR
usdm050719,DRTALS
usdm050726,DRTALT
usdm050802,DRTALU
usdm050809,DRTALV
usdm050816,DRTALW
usdm050823,DRTALX
usdm050830,DRTALY
usdm050906,DRTALZ
usdm050913,DRTAMA
usdm050920,DRTAMB
usdm050927,DRTAMC
usdm051004,DRTAMD
usdm051011,DRTAME
usdm051018,DRTAMF
usdm051025,DRTAMG
usdm051101,DRTAMH
usdm051108,DRTAMI
usdm051115,DRTAMJ
usdm051122,DRTAMK
usdm051129,DRTAML
usdm051206,DRTAMM
usdm051213,DRTAMN
usdm051220,DRTAMO
usdm051227,DRTAMP
usdm060103,DRTAMQ
usdm060110,DRTAMR
usdm060117,DRTAMS
usdm060124,DRTAMT
usdm060131,DRTAMU
usdm060207,DRTAMV
usdm060214,DRTAMW
usdm060221,DRTAMX
usdm060228,DRTAMY
usdm060307,DRTAMZ
usdm060314,DRTANA
usdm060321,DRTANB
usdm060328,DRTANC
usdm060404,DRTAND
usdm060411,DRTANE
usdm060418,DRTANF
usdm060425,DRTANG
usdm060502,DRTANH
usdm060509,DRTANI
usdm060516,DRTANJ
usdm060523,DRTANK
usdm060530,DRTANL
usdm060606,DRTANM
usdm060613,DRTANN
usdm060620,DRTANO
usdm060627,DRTANP
usdm060704,DRTANQ
usdm060711,DRTANR
usdm060718,DRTANS
usdm060725,DRTANT
usdm060801,DRTANU
usdm060808,DRTANV
usdm060815,DRTANW
usdm060822,DRTANX
usdm060829,DRTANY
usdm060905,DRTANZ
usdm060912,DRTAOA
usdm060919,DRTAOB
usdm060926,DRTAOC
usdm061003,DRTAOD
usdm061010,DRTAOE
usdm061017,DRTAOF
usdm061024,DRTAOG
usdm061031,DRTAOH
usdm061107,DRTAOI
usdm061114,DRTAOJ
usdm061121,DRTAOK
usdm061128,DRTAOL
usdm061205,DRTAOM
usdm061212,DRTAON
usdm061219,DRTAOO
usdm061226,DRTAOP
usdm070102,DRTAOQ
usdm070109,DRTAOR
usdm070116,DRTAOS
usdm070123,DRTAOT
usdm070130,DRTAOU
usdm070206,DRTAOV
usdm070213,DRTAOW
usdm070220,DRTAOX
usdm070227,DRTAOY
usdm070306,DRTAOZ
usdm070313,DRTAPA
usdm070320,DRTAPB
usdm070327,DRTAPC
usdm070403,DRTAPD
usdm070410,DRTAPE
usdm070417,DRTAPF
usdm070424,DRTAPG
usdm070501,DRTAPH
usdm070508,DRTAPI
usdm070515,DRTAPJ
usdm070522,DRTAPK
usdm070529,DRTAPL
usdm070605,DRTAPM
usdm070612,DRTAPN
usdm070619,DRTAPO
usdm070626,DRTAPP
usdm070703,DRTAPQ
usdm070710,DRTAPR
usdm070717,DRTAPS
usdm070724,DRTAPT
usdm070731,DRTAPU
usdm070807,DRTAPV
usdm070814,DRTAPW
usdm070821,DRTAPX
usdm070828,DRTAPY
usdm070904,DRTAPZ
usdm070911,DRTAQA
usdm070918,DRTAQB
usdm070925,DRTAQC
usdm071002,DRTAQD
usdm071009,DRTAQE
usdm071016,DRTAQF
usdm071023,DRTAQG
usdm071030,DRTAQH
usdm071106,DRTAQI
usdm071113,DRTAQJ
usdm071120,DRTAQK
usdm071127,DRTAQL
usdm071204,DRTAQM
usdm071211,DRTAQN
usdm071218,DRTAQO
usdm071225,DRTAQP
usdm080101,DRTAQQ
usdm080108,DRTAQR
usdm080115,DRTAQS
usdm080122,DRTAQT
usdm080129,DRTAQU
usdm080205,DRTAQV
usdm080212,DRTAQW
usdm080219,DRTAQX
usdm080226,DRTAQY
usdm080304,DRTAQZ
usdm080311,DRTARA
usdm080318,DRTARB
usdm080325,DRTARC
usdm080401,DRTARD
usdm080408,DRTARE
usdm080415,DRTARF
usdm080422,DRTARG
usdm080429,DRTARH
usdm080506,DRTARI
usdm080513,DRTARJ
usdm080520,DRTARK
usdm080527,DRTARL
usdm080603,DRTARM
usdm080610,DRTARN
usdm080617,DRTARO
usdm080624,DRTARP
usdm080701,DRTARQ
usdm080708,DRTARR
usdm080715,DRTARS
usdm080722,DRTART
usdm080729,DRTARU
usdm080805,DRTARV
usdm080812,DRTARW
usdm080819,DRTARX
usdm080826,DRTARY
usdm080902,DRTARZ
usdm080909,DRTASA
usdm080916,DRTASB
usdm080923,DRTASC
usdm080930,DRTASD
usdm081007,DRTASE
usdm081014,DRTASF
usdm081021,DRTASG
usdm081028,DRTASH
usdm081104,DRTASI
usdm081111,DRTASJ
usdm081118,DRTASK
usdm081125,DRTASL
usdm081202,DRTASM
usdm081209,DRTASN
usdm081216,DRTASO
usdm081223,DRTASP
usdm081230,DRTASQ
usdm090106,DRTASR
usdm090113,DRTASS
usdm090120,DRTAST
usdm090127,DRTASU
usdm090203,DRTASV
usdm090210,DRTASW
usdm090217,DRTASX
usdm090224,DRTASY
usdm090303,DRTASZ
usdm090310,DRTATA
usdm090317,DRTATB
usdm090324,DRTATC
usdm090331,DRTATD
usdm090407,DRTATE
usdm090414,DRTATF
usdm090421,DRTATG
usdm090428,DRTATH
usdm090505,DRTATI
usdm090512,DRTATJ
usdm090519,DRTATK
usdm090526,DRTATL
usdm090602,DRTATM
usdm090609,DRTATN
usdm090616,DRTATO
usdm090623,DRTATP
usdm090630,DRTATQ
usdm090707,DRTATR
usdm090714,DRTATS
usdm090721,DRTATT
usdm090728,DRTATU
usdm090804,DRTATV
usdm090811,DRTATW
usdm090818,DRTATX
usdm090825,DRTATY
usdm090901,DRTATZ
usdm090908,DRTAUA
usdm090915,DRTAUB
usdm090922,DRTAUC
usdm090929,DRTAUD
usdm091006,DRTAUE
usdm091013,DRTAUF
usdm091020,DRTAUG
usdm091027,DRTAUH
usdm091103,DRTAUI
usdm091110,DRTAUJ
usdm091117,DRTAUK
usdm091124,DRTAUL
usdm091201,DRTAUM
usdm091208,DRTAUN
usdm091215,DRTAUO
usdm091222,DRTAUP
usdm091229,DRTAUQ
