         259794 function calls (259555 primitive calls) in 0.435 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 getopt.py:51(getopt)
        1    0.000    0.000    0.000    0.000 fileprocessor:174(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:68(<lambda>)
       23    0.000    0.000    0.000    0.000 {range}
       35    0.000    0.000    0.000    0.000 sre_parse.py:206(tell)
       35    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
        1    0.000    0.000    0.000    0.000 getopt.py:187(do_shorts)
        1    0.000    0.000    0.000    0.000 fileprocessor:185(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:196(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:79(<lambda>)
       30    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       15    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 fileprocessor:90(<lambda>)
       30    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 getopt.py:202(short_has_arg)
       28    0.000    0.000    0.000    0.000 fileprocessor:32(choose)
        1    0.000    0.000    0.000    0.000 fileprocessor:126(<lambda>)
       15    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Config.py:2(<module>)
        1    0.000    0.000    0.000    0.000 fileprocessor:115(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:285(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:273(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:223(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:235(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:152(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:247(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:260(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:197(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:127(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:80(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:164(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:297(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:139(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:186(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:104(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:175(<lambda>)
        1    0.000    0.000    0.000    0.000 getopt.py:38(GetoptError)
        1    0.000    0.000    0.000    0.000 fileprocessor:69(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:91(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:57(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:210(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
