         259794 function calls (259555 primitive calls) in 0.435 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.023    0.023    0.435    0.435 fileprocessor:3(<module>)
       21    0.054    0.003    0.287    0.014 fileprocessor:330(listfiles)
    20749    0.036    0.000    0.149    0.000 genericpath.py:38(isdir)
    20812    0.028    0.000    0.104    0.000 re.py:139(search)
    20770    0.086    0.000    0.086    0.000 {posix.stat}
    20980    0.045    0.000    0.070    0.000 posixpath.py:68(join)
    20938    0.027    0.000    0.047    0.000 re.py:226(_compile)
    20812    0.030    0.000    0.030    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    20749    0.018    0.000    0.027    0.000 stat.py:40(S_ISDIR)
    20984    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
       42    0.010    0.000    0.010    0.000 {posix.listdir}
    21003    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    20980    0.010    0.000    0.010    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.010    0.001 sre_compile.py:496(compile)
    20875    0.009    0.000    0.009    0.000 stat.py:24(S_IFMT)
    22597    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       15    0.000    0.000    0.006    0.000 sre_parse.py:676(parse)
    45/15    0.000    0.000    0.005    0.000 sre_parse.py:302(_parse_sub)
    45/15    0.002    0.000    0.005    0.000 sre_parse.py:380(_parse)
      126    0.000    0.000    0.004    0.000 fileprocessor:359(symlink)
      126    0.004    0.000    0.004    0.000 {posix.symlink}
      126    0.000    0.000    0.004    0.000 fileprocessor:353(remove)
      126    0.004    0.000    0.004    0.000 {posix.remove}
       15    0.000    0.000    0.004    0.000 sre_compile.py:481(_code)
       63    0.001    0.000    0.003    0.000 fileprocessor:305(date_period_longform)
       21    0.002    0.000    0.002    0.000 {sorted}
    80/15    0.001    0.000    0.002    0.000 sre_compile.py:33(_compile)
      126    0.000    0.000    0.002    0.000 posixpath.py:139(islink)
      252    0.002    0.000    0.002    0.000 {method 'strftime' of 'datetime.date' objects}
      492    0.000    0.000    0.002    0.000 sre_parse.py:202(get)
       15    0.001    0.000    0.002    0.000 sre_compile.py:362(_compile_info)
      126    0.000    0.000    0.001    0.000 re.py:144(sub)
      572    0.001    0.000    0.001    0.000 sre_parse.py:183(__next)
      126    0.001    0.000    0.001    0.000 {posix.lstat}
   115/50    0.001    0.000    0.001    0.000 sre_parse.py:141(getwidth)
      284    0.000    0.000    0.001    0.000 sre_parse.py:131(__getitem__)
1779/1730    0.001    0.000    0.001    0.000 {len}
      126    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      392    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
        3    0.000    0.000    0.000    0.000 fileprocessor:60(<lambda>)
      240    0.000    0.000    0.000    0.000 sre_parse.py:196(match)
      126    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
       35    0.000    0.000    0.000    0.000 sre_compile.py:179(_compile_charset)
        3    0.000    0.000    0.000    0.000 fileprocessor:276(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:272(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:200(<lambda>)
       21    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        3    0.000    0.000    0.000    0.000 fileprocessor:155(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:189(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:118(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:238(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:234(<lambda>)
      329    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 fileprocessor:114(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:222(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:288(<lambda>)
      154    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
        1    0.000    0.000    0.000    0.000 fileprocessor:103(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:296(<lambda>)
       35    0.000    0.000    0.000    0.000 sre_compile.py:355(_simple)
        3    0.000    0.000    0.000    0.000 fileprocessor:72(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:263(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:246(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:138(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:209(<lambda>)
        1    0.000    0.000    0.000    0.000 fileprocessor:259(<lambda>)
       50    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        3    0.000    0.000    0.000    0.000 fileprocessor:167(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:130(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:94(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:300(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:178(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:107(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:213(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:226(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:250(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:142(<lambda>)
        3    0.000    0.000    0.000    0.000 fileprocessor:83(<lambda>)
      160    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 fileprocessor:284(<lambda>)
       35    0.000    0.000    0.000    0.000 sre_compile.py:208(_optimize_charset)
      312    0.000    0.000    0.000    0.000 {ord}
       15    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
      126    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       80    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.000    0.000 fileprocessor:151(<lambda>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
      126    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
       30    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
        1    0.000    0.000    0.000    0.000 fileprocessor:56(<lambda>)
       15    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 fileprocessor:163(<lambda>)
